model_key,quant_key,mode,attention_path,scna,scna_dim,scna_input_quant_bits,scna_input_clip_min,scna_input_scale,scna_output_floor_log,ppl,ppl_delta_vs_exact_eager,ppl_delta_vs_exact_sdpa,acc_avg,acc_delta_vs_exact_eager,acc_delta_vs_exact_sdpa,arc_challenge,arc_easy,boolq,hellaswag,lambada_openai,openbookqa,piqa,social_iqa,winogrande,returncode,scna_artifact_root,result_dir
llama2_7b,w6a6kv6,exact_eager_maskfix_acc,eager,False,,0,,1.0,,5.50187873840332,-2.8179006576538086,0.0011858940124511719,0.6509,0.06590000000000007,0.0008000000000000229,0.4497,0.742,0.7709,0.7581,0.7374,0.444,0.7927,0.4626,0.7009,0,,eval_llama2_7b_w6a6kv6_exact_eager_maskfix_acc
llama2_7b,w6a6kv6,scna_d16,eager,True,16,,,,,62.329620361328125,54.009840965270996,56.828927516937256,0.4617,-0.12329999999999997,-0.1884,0.314,0.4423,0.6627,0.5977,0.3514,0.27,0.6513,0.3454,0.5201,0,,eval_llama2_7b_w6a6kv6_scna_d16
llama2_7b,w6a6kv6,scna_d16_clip6,eager,True,16,0,-6.0,1.0,,1853.3316650390625,1845.0118856430054,1847.8309721946716,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d16_clip6
llama2_7b,w6a6kv6,scna_d16_clip8,eager,True,16,0,-8.0,1.0,,60.42513656616211,52.10535717010498,54.92444372177124,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d16_clip8
llama2_7b,w6a6kv6,scna_d16_clip8_q6in,eager,True,16,6,-8.0,1.0,,60.703121185302734,52.383341789245605,55.202428340911865,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d16_clip8_q6in
llama2_7b,w6a6kv6,scna_d16_maskfix,eager,True,16,0,,1.0,,5.5032877922058105,-2.8164916038513184,0.0025949478149414062,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d16_maskfix
llama2_7b,w6a6kv6,scna_d16_maskfix_acc,eager,True,16,0,,1.0,,5.5032877922058105,-2.8164916038513184,0.0025949478149414062,0.6504,0.06540000000000001,0.00029999999999996696,0.4462,0.7437,0.7706,0.7577,0.7345,0.444,0.7916,0.4585,0.7064,0,,eval_llama2_7b_w6a6kv6_scna_d16_maskfix_acc
llama2_7b,w6a6kv6,scna_d16_q6in,eager,True,16,6,,1.0,,63.081932067871094,54.762152671813965,57.581239223480225,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d16_q6in
llama2_7b,w6a6kv6,scna_d32,eager,True,32,,,,,63.03710174560547,54.71732234954834,57.5364089012146,0.4592,-0.12579999999999997,-0.19090000000000001,0.3106,0.4398,0.6639,0.5949,0.3547,0.268,0.6513,0.3393,0.5099,0,,eval_llama2_7b_w6a6kv6_scna_d32
llama2_7b,w6a6kv6,scna_d32_clip8,eager,True,32,0,-8.0,1.0,,65.77298736572266,57.45320796966553,60.27229452133179,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d32_clip8
llama2_7b,w6a6kv6,scna_d32_fit_L16_g15,eager,True,32,0,,1.0,,58.883785247802734,50.564005851745605,53.383092403411865,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L16_g15,eval_llama2_7b_w6a6kv6_scna_d32_fit_L16_g15
llama2_7b,w6a6kv6,scna_d32_fit_L16_g2,eager,True,32,0,,1.0,,59.00349426269531,50.683714866638184,53.50280141830444,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L16_g2,eval_llama2_7b_w6a6kv6_scna_d32_fit_L16_g2
llama2_7b,w6a6kv6,scna_d32_fit_L24_g2,eager,True,32,0,,1.0,,57.7178955078125,49.39811611175537,52.21720266342163,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L24_g2,eval_llama2_7b_w6a6kv6_scna_d32_fit_L24_g2
llama2_7b,w6a6kv6,scna_d32_fit_L24_g2_eager20,eager,True,32,0,,1.0,,61.658443450927734,53.338664054870605,56.157750606536865,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L24_g2,eval_llama2_7b_w6a6kv6_scna_d32_fit_L24_g2_eager20
llama2_7b,w6a6kv6,scna_d32_fit_attn_l2w4,eager,True,32,0,,1.0,,61.521148681640625,53.201369285583496,56.020455837249756,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_attnfit_l2_w4_d32_L16g15,eval_llama2_7b_w6a6kv6_scna_d32_fit_attn_l2w4
llama2_7b,w6a6kv6,scna_d32_fit_roll_l2w6,eager,True,32,0,,1.0,,61.19547653198242,52.87569713592529,55.69478368759155,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_rollfit_l2_w6_d32_from_pwlL24,eval_llama2_7b_w6a6kv6_scna_d32_fit_roll_l2w6
llama2_7b,w6a6kv6,scna_d32_fit_roll_l2w6_eager20,eager,True,32,0,,1.0,,65.24642181396484,56.926642417907715,59.745728969573975,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_rollfit_l2_w6_d32_from_pwlL24,eval_llama2_7b_w6a6kv6_scna_d32_fit_roll_l2w6_eager20
llama2_7b,w6a6kv6,scna_d32_floor12,eager,True,32,0,,1.0,-12.0,62.521732330322266,54.20195293426514,57.0210394859314,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d32_floor12
llama2_7b,w6a6kv6,scna_d32_floor16,eager,True,32,0,,1.0,-16.0,62.99861145019531,54.678832054138184,57.49791860580444,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d32_floor16
llama2_7b,w6a6kv6,scna_d32_maskfix,eager,True,32,0,,1.0,,5.504350185394287,-2.815429210662842,0.0036573410034179688,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d32_maskfix
llama2_7b,w6a6kv6,scna_d32_maskfix_acc,eager,True,32,0,,1.0,,5.504350185394287,-2.815429210662842,0.0036573410034179688,0.6506,0.06559999999999999,0.0004999999999999449,0.4505,0.7437,0.7731,0.7579,0.7341,0.444,0.7889,0.4642,0.6993,0,,eval_llama2_7b_w6a6kv6_scna_d32_maskfix_acc
llama2_7b,w6a6kv6,scna_d8,eager,True,8,,,,,69.12882995605469,60.80905055999756,63.62813711166382,0.4586,-0.12639999999999996,-0.1915,0.3114,0.4478,0.6572,0.5956,0.3542,0.268,0.6545,0.3434,0.4957,0,,eval_llama2_7b_w6a6kv6_scna_d8
llama2_7b,w6a6kv6,scna_d8_maskfix,eager,True,8,0,,1.0,,5.535458087921143,-2.7843213081359863,0.03476524353027344,,,,,,,,,,,,,0,,eval_llama2_7b_w6a6kv6_scna_d8_maskfix
llama2_7b,w6a6kv6,scna_d8_maskfix_acc,eager,True,8,0,,1.0,,5.535458087921143,-2.7843213081359863,0.03476524353027344,0.6499,0.06490000000000007,-0.00019999999999997797,0.4497,0.7412,0.7734,0.7566,0.7386,0.432,0.7911,0.4637,0.7032,0,,eval_llama2_7b_w6a6kv6_scna_d8_maskfix_acc
llama2_7b,w6a6kv6,train_scnafit5_d32_pwlL24,eager,True,32,0,,1.0,,,,,,,,,,,,,,,,,1,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L24_g2,train_llama2_7b_w6a6kv6_scnafit5_d32_pwlL24
llama2_7b,w6a6kv6,train_scnafit5b_d32_pwlL24,eager,True,32,0,,1.0,,63.66828155517578,55.34850215911865,58.16758871078491,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L24_g2,train_llama2_7b_w6a6kv6_scnafit5b_d32_pwlL24
llama2_7b,w6a6kv6,train_scnafit_d32_pwlL24,eager,True,32,0,,1.0,,,,,,,,,,,,,,,,,,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_pwl_L24_g2,train_llama2_7b_w6a6kv6_scnafit_d32_pwlL24
llama3_8b,w4a4kv4,exact_eager20,eager,False,,0,,1.0,,10.869270324707031,0.5728387832641602,3.5392098426818848,,,,,,,,,,,,,0,,exact_llama3_8b_w4a4kv4_eager20
llama3_8b,w4a4kv4,exact_sdpa,sdpa,False,,,,,,7.3300604820251465,-2.9663710594177246,0.0,0.6442,0.08940000000000003,0.0,0.4838,0.7424,0.7838,0.7526,0.7033,0.416,0.7802,0.4427,0.693,0,,exact_llama3_8b_w4a4kv4_sdpa
llama3_8b,w4a4kv4,exact_eager,eager,False,,,,,,10.296431541442871,0.0,2.9663710594177246,0.5548,0.0,-0.08940000000000003,0.3925,0.6098,0.7563,0.7031,0.5601,0.324,0.6882,0.3787,0.5809,0,,eval_llama3_8b_w4a4kv4_exact_eager
llama3_8b,w4a4kv4,exact_eager_maskfix,eager,False,,0,,1.0,,7.32977819442749,-2.966653347015381,-0.00028228759765625,,,,,,,,,,,,,0,,eval_llama3_8b_w4a4kv4_exact_eager_maskfix
llama3_8b,w4a4kv4,exact_eager_maskfix_acc,eager,False,,0,,1.0,,7.32977819442749,-2.966653347015381,-0.00028228759765625,0.6464,0.09160000000000001,0.0021999999999999797,0.4812,0.7546,0.7713,0.7523,0.7023,0.442,0.7791,0.4422,0.693,0,,eval_llama3_8b_w4a4kv4_exact_eager_maskfix_acc
llama3_8b,w4a4kv4,scna_d16,eager,True,16,,,,,51.733314514160156,41.436882972717285,44.40325403213501,0.3893,-0.16549999999999998,-0.2549,0.2491,0.354,0.5789,0.3489,0.2352,0.274,0.5854,0.3475,0.5304,0,,eval_llama3_8b_w4a4kv4_scna_d16
llama3_8b,w4a4kv4,scna_d16_maskfix,eager,True,16,0,,1.0,,7.344878673553467,-2.9515528678894043,0.014818191528320312,,,,,,,,,,,,,0,,eval_llama3_8b_w4a4kv4_scna_d16_maskfix
llama3_8b,w4a4kv4,scna_d16_maskfix_acc,eager,True,16,0,,1.0,,7.344878673553467,-2.9515528678894043,0.014818191528320312,0.6511,0.09630000000000005,0.006900000000000017,0.4855,0.7551,0.7774,0.7522,0.7157,0.45,0.7807,0.4473,0.6961,0,,eval_llama3_8b_w4a4kv4_scna_d16_maskfix_acc
llama3_8b,w4a4kv4,scna_d32,eager,True,32,,,,,51.815338134765625,41.518906593322754,44.48527765274048,0.3912,-0.16359999999999997,-0.253,0.2474,0.3527,0.5829,0.3486,0.2389,0.264,0.5974,0.3536,0.5351,0,,eval_llama3_8b_w4a4kv4_scna_d32
llama3_8b,w4a4kv4,scna_d32_fit_attn_l2w4,eager,True,32,0,,1.0,,52.05404281616211,41.75761127471924,44.72398233413696,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_attnfit_l2_w4_d32_L16g15,eval_llama3_8b_w4a4kv4_scna_d32_fit_attn_l2w4
llama3_8b,w4a4kv4,scna_d32_maskfix,eager,True,32,0,,1.0,,7.346691131591797,-2.949740409851074,0.01663064956665039,,,,,,,,,,,,,0,,eval_llama3_8b_w4a4kv4_scna_d32_maskfix
llama3_8b,w4a4kv4,scna_d32_maskfix_acc,eager,True,32,0,,1.0,,7.346691131591797,-2.949740409851074,0.01663064956665039,0.6472,0.09240000000000004,0.0030000000000000027,0.5,0.75,0.7697,0.749,0.7083,0.432,0.7775,0.4483,0.6898,0,,eval_llama3_8b_w4a4kv4_scna_d32_maskfix_acc
llama3_8b,w4a4kv4,scna_d8,eager,True,8,,,,,55.48794174194336,45.19151020050049,48.15788125991821,0.3926,-0.16219999999999996,-0.2516,0.256,0.3451,0.5914,0.3481,0.2364,0.276,0.5914,0.3495,0.5391,0,,eval_llama3_8b_w4a4kv4_scna_d8
llama3_8b,w4a4kv4,scna_d8_maskfix,eager,True,8,0,,1.0,,7.444907188415527,-2.8515243530273438,0.11484670639038086,,,,,,,,,,,,,0,,eval_llama3_8b_w4a4kv4_scna_d8_maskfix
llama3_8b,w4a4kv4,scna_d8_maskfix_acc,eager,True,8,0,,1.0,,7.444907188415527,-2.8515243530273438,0.11484670639038086,0.6444,0.08960000000000001,0.00019999999999997797,0.4863,0.7487,0.7798,0.75,0.699,0.432,0.7769,0.4391,0.6875,0,,eval_llama3_8b_w4a4kv4_scna_d8_maskfix_acc
llama3_8b,w6a6kv6,exact_eager20,eager,False,,0,,1.0,,9.279339790344238,0.16962242126464844,3.0508456230163574,,,,,,,,,,,,,0,,exact_llama3_8b_w6a6kv6_eager20
llama3_8b,w6a6kv6,exact_sdpa,sdpa,False,,,,,,6.228494167327881,-2.881223201751709,0.0,0.6805,0.09560000000000002,0.0,0.5273,0.7761,0.815,0.7893,0.7543,0.45,0.803,0.4729,0.7364,0,,exact_llama3_8b_w6a6kv6_sdpa
llama3_8b,w6a6kv6,exact_eager,eager,False,,,,,,9.10971736907959,0.0,2.881223201751709,0.5849,0.0,-0.09560000000000002,0.4087,0.6301,0.7841,0.7359,0.6148,0.344,0.7339,0.3966,0.6156,0,,eval_llama3_8b_w6a6kv6_exact_eager
llama3_8b,w6a6kv6,exact_eager_maskfix,eager,False,,0,,1.0,,6.229605674743652,-2.8801116943359375,0.0011115074157714844,,,,,,,,,,,,,0,,eval_llama3_8b_w6a6kv6_exact_eager_maskfix
llama3_8b,w6a6kv6,exact_eager_maskfix_acc,eager,False,,0,,1.0,,6.229605674743652,-2.8801116943359375,0.0011115074157714844,0.6803,0.09540000000000004,-0.00019999999999997797,0.5299,0.7841,0.8119,0.7889,0.7524,0.45,0.7992,0.4724,0.734,0,,eval_llama3_8b_w6a6kv6_exact_eager_maskfix_acc
llama3_8b,w6a6kv6,scna_d16,eager,True,16,,,,,36.68822479248047,27.57850742340088,30.459730625152588,0.4285,-0.15639999999999998,-0.252,0.2594,0.4036,0.5991,0.3827,0.3485,0.306,0.6186,0.3659,0.573,0,,eval_llama3_8b_w6a6kv6_scna_d16
llama3_8b,w6a6kv6,scna_d16_maskfix,eager,True,16,0,,1.0,,6.237985134124756,-2.871732234954834,0.009490966796875,,,,,,,,,,,,,0,,eval_llama3_8b_w6a6kv6_scna_d16_maskfix
llama3_8b,w6a6kv6,scna_d16_maskfix_acc,eager,True,16,0,,1.0,,6.237985134124756,-2.871732234954834,0.009490966796875,0.6802,0.09530000000000005,-0.00029999999999996696,0.5247,0.7786,0.8162,0.7875,0.7532,0.45,0.8003,0.4734,0.738,0,,eval_llama3_8b_w6a6kv6_scna_d16_maskfix_acc
llama3_8b,w6a6kv6,scna_d32,eager,True,32,,,,,36.54109573364258,27.43137836456299,30.312601566314697,0.4296,-0.1553,-0.2509,0.2611,0.3977,0.5954,0.3805,0.3464,0.31,0.6257,0.369,0.5809,0,,eval_llama3_8b_w6a6kv6_scna_d32
llama3_8b,w6a6kv6,scna_d32_fit_attn_l2w4,eager,True,32,0,,1.0,,36.50788497924805,27.398167610168457,30.279390811920166,,,,,,,,,,,,,0,/data/user/cxu930/projects/pinn-fullstack/experiments/ostquant_scna_investigation/results/2026-06-12_140246_corrected_protocol/artifacts/scna_attnfit_l2_w4_d32_L16g15,eval_llama3_8b_w6a6kv6_scna_d32_fit_attn_l2w4
llama3_8b,w6a6kv6,scna_d32_maskfix,eager,True,32,0,,1.0,,6.237723350524902,-2.8719940185546875,0.009229183197021484,,,,,,,,,,,,,0,,eval_llama3_8b_w6a6kv6_scna_d32_maskfix
llama3_8b,w6a6kv6,scna_d32_maskfix_acc,eager,True,32,0,,1.0,,6.237723350524902,-2.8719940185546875,0.009229183197021484,0.6797,0.0948,-0.0008000000000000229,0.5282,0.7765,0.811,0.7896,0.7557,0.448,0.8025,0.4693,0.7364,0,,eval_llama3_8b_w6a6kv6_scna_d32_maskfix_acc
llama3_8b,w6a6kv6,scna_d8,eager,True,8,,,,,38.58251190185547,29.47279453277588,32.35401773452759,0.4294,-0.15549999999999997,-0.2511,0.256,0.4028,0.5942,0.3824,0.3454,0.306,0.6224,0.37,0.5856,0,,eval_llama3_8b_w6a6kv6_scna_d8
llama3_8b,w6a6kv6,scna_d8_maskfix,eager,True,8,0,,1.0,,6.315341472625732,-2.7943758964538574,0.08684730529785156,,,,,,,,,,,,,0,,eval_llama3_8b_w6a6kv6_scna_d8_maskfix
llama3_8b,w6a6kv6,scna_d8_maskfix_acc,eager,True,8,0,,1.0,,6.315341472625732,-2.7943758964538574,0.08684730529785156,0.6801,0.09520000000000006,-0.00039999999999995595,0.5247,0.7799,0.8205,0.7869,0.7475,0.452,0.803,0.4713,0.7348,0,,eval_llama3_8b_w6a6kv6_scna_d8_maskfix_acc
