context_length,baseline_variant,baseline_label,variant,variant_label,baseline_model_ms,variant_model_ms,model_speedup_vs_baseline_x,baseline_layer_ms,variant_layer_ms,layer_speedup_vs_baseline_x,baseline_attention_core_ms,variant_attention_core_ms,attention_core_speedup_vs_baseline_x,baseline_attention_total_ms,variant_attention_total_ms,attention_total_speedup_vs_baseline_x,baseline_attention_useful_tflops_core,variant_attention_useful_tflops_core,baseline_model_prefill_tokens_per_s,variant_model_prefill_tokens_per_s,attention_share_of_model
32768,baseline,FlashAttention,customsa,FlashAttention-CustomSA,703.6803307951307,607.3820730035396,1.158546427482442,21.98764763878097,18.97832708279375,1.1585661656508992,13.210806026072692,10.201485470085471,1.294988466612207,15.612301113701113,12.602980557713892,1.2387784811859692,1331.6512262534372,1724.4729795482037,46566.59930081244,53949.56725996264,0.6639895969476436
32768,baseline,FlashAttention,illm,FlashAttention + I-LLM,703.6803307951307,979.7519331088665,0.7182229572768194,21.98764763878097,30.614885211085216,0.7182012111814012,13.210806026072692,21.838043598376935,0.6049445760358568,15.612301113701113,24.239538686005357,0.6440840857550989,1331.6512262534372,805.5751864935145,46566.59930081244,33445.20066015418,0.7916955422490423
32768,baseline,FlashAttention,intattention,FlashAttention + IntAttention,703.6803307951307,795.7283388068721,0.884322320165498,21.98764763878097,24.86414788914789,0.8843113279734639,13.210806026072692,16.08730627643961,0.8211944124803762,15.612301113701113,18.48880136406803,0.8444193220682635,1331.6512262534372,1093.5445463719639,46566.59930081244,41179.88313591152,0.7435221479447295
65536,baseline,FlashAttention,baseline,FlashAttention,2241.7456936199605,2241.7456936199605,1.0,70.05190732970733,70.05190732970733,1.0,52.780224104290774,52.780224104290774,1.0,57.499214279547616,57.499214279547616,1.0,1333.2407236206368,1333.2407236206368,29234.35971641046,29234.35971641046,0.8207776922164355
65536,baseline,FlashAttention,customsa,FlashAttention-CustomSA,2241.7456936199605,1856.552662453596,1.207477567944288,70.05190732970733,58.01462510575844,1.2074870293827702,52.780224104290774,40.74294188034188,1.295444601406085,57.499214279547616,45.46193205559872,1.2647771812519455,1333.2407236206368,1727.139497789096,29234.35971641046,35299.83357077977,0.7835930836761389
65536,baseline,FlashAttention,illm,FlashAttention + I-LLM,2241.7456936199605,3344.2939815591817,0.6703195669941703,70.05190732970733,104.506541327808,0.6703112210935578,52.780224104290774,87.23485810239143,0.6050359369226036,57.499214279547616,91.95384827764828,0.6253051433577062,1333.2407236206368,806.6585503591818,29234.35971641046,19596.363346456073,0.8798637802508251
65536,baseline,FlashAttention,intattention,FlashAttention + IntAttention,2241.7456936199605,2650.4938897004236,0.8457841394508318,70.05190732970733,82.8252884572218,0.8457792135054047,52.780224104290774,65.55360523180524,0.8051460162664389,57.499214279547616,70.27259540706208,0.8182309753393454,1333.2407236206368,1073.45345734734,29234.35971641046,24725.957775140283,0.8484166146408858
131072,baseline,FlashAttention,baseline,FlashAttention,7850.319176275576,7850.319176275576,1.0,245.3192628679962,245.3192628679962,1.0,211.05789641716308,211.05789641716308,1.0,220.41187676767677,220.41187676767677,1.0,1333.6386910362792,1333.6386910362792,16696.39119847665,16696.39119847665,0.8984577439705954
131072,baseline,FlashAttention,customsa,FlashAttention-CustomSA,7850.319176275576,6228.103167849435,1.2604671060685548,245.3192628679962,194.62501260467928,1.2604714038800688,211.05789641716308,160.36364615384616,1.3161205889187815,220.41187676767677,169.71762650435986,1.298697615017699,1333.6386910362792,1755.2293394515407,16696.39119847665,21045.251895732355,0.8720093263989441
131072,baseline,FlashAttention,illm,FlashAttention + I-LLM,7850.319176275576,10572.217156695155,0.7425423692989639,245.3192628679962,330.37857475610804,0.7425398667243955,211.05789641716308,296.1172083052749,0.7127512028938825,220.41187676767677,305.4711886557886,0.7215471866187733,1333.6386910362792,950.552581261931,16696.39119847665,12397.77787925922,0.9246005726239638
131072,baseline,FlashAttention,intattention,FlashAttention + IntAttention,7850.319176275576,9660.282839713373,0.8126386469765621,245.3192628679962,301.88062735042735,0.8126366538361075,211.05789641716308,267.6192608995942,0.7886498741073352,220.41187676767677,276.9732412501079,0.7957876211176805,1333.6386910362792,1051.773985790433,16696.39119847665,13568.132752921445,0.9174828384493169
262144,baseline,FlashAttention,baseline,FlashAttention,29197.23716961064,29197.23716961064,1.0,912.4093185703186,912.4093185703186,1.0,844.1685856686523,844.1685856686523,1.0,862.7925463696797,862.7925463696797,1.0,1333.7382200153977,1333.7382200153977,8978.383758612865,8978.383758612865,0.9456155499728722
262144,baseline,FlashAttention,customsa,FlashAttention-CustomSA,29197.23716961064,22545.485368384707,1.295036974921534,912.4093185703186,704.5420747820083,1.2950387936059409,844.1685856686523,636.301341880342,1.3266805051424837,862.7925463696797,654.9253025813694,1.3173907665026952,1333.7382200153977,1769.4444954578648,8978.383758612865,11627.338942438637,0.9295701263540971
262144,baseline,FlashAttention,illm,FlashAttention + I-LLM,29197.23716961064,38439.40757907278,0.7595652224751306,912.4093185703186,1201.2271438660107,0.7595643531945463,844.1685856686523,1132.9864109643445,0.7450827101713744,862.7925463696797,1151.6103716653718,0.7492052586518255,1333.7382200153977,993.7452876282173,8978.383758612865,6819.66805707788,0.9586914631159572
262144,baseline,FlashAttention,intattention,FlashAttention + IntAttention,29197.23716961064,36576.14152861952,0.798259082269923,912.4093185703186,1143.0000797893463,0.7982583157286172,844.1685856686523,1074.75934688768,0.7854489361857803,862.7925463696797,1093.3833075887073,0.7891034556512839,1333.7382200153977,1047.58326606141,8978.383758612865,7167.076379417488,0.9565871188315905
524288,baseline,FlashAttention,baseline,FlashAttention,112410.15726837606,112410.15726837606,1.0,3512.8108084779415,3512.8108084779415,1.0,3376.611342674609,3376.611342674609,1.0,3413.775264076664,3413.775264076664,1.0,1333.7631045814117,1333.7631045814117,4664.062507699169,4664.062507699169,0.9718054943170653
524288,baseline,FlashAttention,customsa,FlashAttention-CustomSA,112410.15726837606,85477.37452842959,1.3150866868400208,3512.8108084779415,2671.161347854614,1.3150874660938439,3376.611342674609,2534.961882051282,1.3320166139706477,3413.775264076664,2572.1258034533366,1.3272193994140289,1333.7631045814117,1776.5946144035113,4664.062507699169,6133.646510464859,0.9629217809343372
524288,baseline,FlashAttention,illm,FlashAttention + I-LLM,112410.15726837606,147543.38279682296,0.7618786768849696,3512.8108084779415,4610.724106241907,0.7618783357092149,3376.611342674609,4474.524640438574,0.7546301817534852,3413.775264076664,4511.6885618406295,0.7566513550935238,1333.7631045814117,1006.4978940263633,4664.062507699169,3553.4497722746364,0.97851920731486
524288,baseline,FlashAttention,intattention,FlashAttention + IntAttention,112410.15726837606,142574.67332894763,0.7884300531344993,3512.8108084779415,4455.451935370803,0.7884297394368792,3376.611342674609,4319.25246956747,0.7817582710122853,3413.775264076664,4356.416390969525,0.7836200577963863,1333.7631045814117,1042.6803385775424,4664.062507699169,3677.2870507678817,0.9777706043863028
