model,system,data_type,batch_size,context_length,variant,variant_label,num_layers,attention_core_ms,q_proj_ms,k_proj_ms,v_proj_ms,o_proj_ms,attention_total_ms,attn_norm_ms,residual_add1_ms,ffn_norm_ms,gate_proj_ms,up_proj_ms,silu_ms,gate_mul_ms,down_proj_ms,residual_add2_ms,ffn_total_ms,non_attention_per_layer_ms,layer_total_ms,decoder_stack_ms,final_norm_ms,lm_head_ms,model_total_ms,attention_share_of_layer,attention_share_of_model,q_mul_k_ms,softmax_ms,softmax_scale,a_mul_v_ms,fused_core_ms,attention_useful_tflops_core,attention_useful_tflops_total,model_prefill_tokens_per_s,decoder_stack_tokens_per_s
llama3_8b_int8,H100 INT8,int8,1,8192,illm,FlashAttention + I-LLM,32,1.4241708538375206,0.1658434429767763,0.1658434429767763,0.1658434429767763,0.1658434429767763,2.0875446257446257,0.04726317879651213,0.0005657946991280325,0.04726317879651213,0.5279520504187171,0.5279520504187171,0.06084225157558491,0.001980281446948114,0.5279520504187171,0.0005657946991280325,1.6945076577743243,1.7423366312699644,3.8298812570145904,122.55620022446689,0.04726317879651213,0.021553638953638952,122.62501704221704,0.5450677150685022,0.5447618245861674,0.3575822498489165,1.4031708538375207,1.702,0.3066607269273936,0.0,772.0363219155165,526.7008974161714,66805.29142907013,66842.80342402917
llama3_8b_int8,H100 INT8,int8,1,8192,intattention,FlashAttention + IntAttention,32,0.9394262453595786,0.1658434429767763,0.1658434429767763,0.1658434429767763,0.1658434429767763,1.6028000172666839,0.04726317879651213,0.0005657946991280325,0.04726317879651213,0.5279520504187171,0.5279520504187171,0.06084225157558491,0.001980281446948114,0.5279520504187171,0.0005657946991280325,1.6945076577743243,1.7423366312699644,3.3451366485366485,107.04437275317275,0.04726317879651213,0.021553638953638952,107.1131895709229,0.4791433611442567,0.47883552677304486,0.3575822498489165,0.9184262453595786,1.114,0.3066607269273936,0.0,1170.4076112490839,685.9942699844983,76479.8437318107,76529.01118762633
llama3_8b_int8,H100 INT8,int8,1,16384,baseline,FlashAttention,32,3.318451506518173,0.31068688595355265,0.31068688595355265,0.31068688595355265,0.31068688595355265,4.561199050332384,0.04952635759302426,0.001131589398256065,0.04952635759302426,1.0349041008374342,1.0349041008374342,0.07668450315116983,0.003960562893896228,1.0349041008374342,0.001131589398256065,3.236015315548649,3.2866732625399293,7.847872312872314,251.13191401191403,0.04952635759302426,0.021553638953638952,251.2029940084607,0.581201995711751,0.5810375397266176,1.430328999395666,3.2974515065181733,1.0,1.2266429077095744,0.0,1325.3309570639387,964.2303399987564,65222.152564981676,65240.61294425017
llama3_8b_int8,H100 INT8,int8,1,16384,customsa,FlashAttention-CustomSA,32,2.566121367521368,0.31068688595355265,0.31068688595355265,0.31068688595355265,0.31068688595355265,3.8088689113355785,0.04952635759302426,0.001131589398256065,0.04952635759302426,1.0349041008374342,1.0349041008374342,0.07668450315116983,0.003960562893896228,1.0349041008374342,0.001131589398256065,3.236015315548649,3.2866732625399293,7.095542173875508,227.05734956401625,0.04952635759302426,0.021553638953638952,227.12842956056292,0.5367974452127335,0.5366294540870704,0.0,0.0,1.0,0.0,2.5451213675213675,1713.8887375978245,1154.6857120797645,72135.39948168959,72157.98137104881
llama3_8b_int8,H100 INT8,int8,1,16384,illm,FlashAttention + I-LLM,32,5.623499110765778,0.31068688595355265,0.31068688595355265,0.31068688595355265,0.31068688595355265,6.866246654579989,0.04952635759302426,0.001131589398256065,0.04952635759302426,1.0349041008374342,1.0349041008374342,0.07668450315116983,0.003960562893896228,1.0349041008374342,0.001131589398256065,3.236015315548649,3.2866732625399293,10.152919917119918,324.8934373478374,0.04952635759302426,0.021553638953638952,324.9645173443841,0.6762829521586278,0.6761350277319954,1.430328999395666,5.602499110765777,1.699,1.2266429077095744,0.0,782.083614574467,640.5313896159518,50417.81217805053,50428.842557564385
llama3_8b_int8,H100 INT8,int8,1,16384,intattention,FlashAttention + IntAttention,32,3.981562893896227,0.31068688595355265,0.31068688595355265,0.31068688595355265,0.31068688595355265,5.224310437710438,0.04952635759302426,0.001131589398256065,0.04952635759302426,1.0349041008374342,1.0349041008374342,0.07668450315116983,0.003960562893896228,1.0349041008374342,0.001131589398256065,3.236015315548649,3.2866732625399293,8.510983700250367,272.35147840801176,0.04952635759302426,0.021553638953638952,272.42255840455846,0.613831564212343,0.6136714044013494,1.430328999395666,3.9605628938962267,1.201,1.2266429077095744,0.0,1104.6030486787604,841.8424907060943,60141.86231842482,60157.55851875718
llama3_8b_int8,H100 INT8,int8,1,32768,baseline,FlashAttention,32,13.210806026072692,0.6003737719071053,0.6003737719071053,0.6003737719071053,0.6003737719071053,15.612301113701113,0.054052715186048525,0.00226317879651213,0.054052715186048525,2.0488082016748685,2.0488082016748685,0.10836900630233966,0.007921125787792456,2.0488082016748685,0.00226317879651213,6.319030631097298,6.375346525079858,21.98764763878097,703.604724440991,0.054052715186048525,0.021553638953638952,703.6803307951307,0.7100487223637664,0.7099724317630347,5.721315997582664,13.189806026072693,1.0,4.906571630838298,0.0,1331.6512262534372,1126.8157023295798,46566.59930081244,46571.60314839264
llama3_8b_int8,H100 INT8,int8,1,32768,customsa,FlashAttention-CustomSA,32,10.201485470085471,0.6003737719071053,0.6003737719071053,0.6003737719071053,0.6003737719071053,12.602980557713892,0.054052715186048525,0.00226317879651213,0.054052715186048525,2.0488082016748685,2.0488082016748685,0.10836900630233966,0.007921125787792456,2.0488082016748685,0.00226317879651213,6.319030631097298,6.375346525079858,18.97832708279375,607.3064666494,0.054052715186048525,0.021553638953638952,607.3820730035396,0.6640722600434095,0.6639895969476436,0.0,0.0,1.0,0.0,10.18048547008547,1724.4729795482037,1395.8750443083377,53949.56725996264,53956.28368784861
llama3_8b_int8,H100 INT8,int8,1,32768,illm,FlashAttention + I-LLM,32,21.838043598376935,0.6003737719071053,0.6003737719071053,0.6003737719071053,0.6003737719071053,24.239538686005357,0.054052715186048525,0.00226317879651213,0.054052715186048525,2.0488082016748685,2.0488082016748685,0.10836900630233966,0.007921125787792456,2.0488082016748685,0.00226317879651213,6.319030631097298,6.375346525079858,30.614885211085216,979.6763267547269,0.054052715186048525,0.021553638953638952,979.7519331088665,0.7917566412180622,0.7916955422490423,5.721315997582664,21.817043598376934,1.654,4.906571630838298,0.0,805.5751864935145,725.7640614494371,33445.20066015418,33447.781787835156
llama3_8b_int8,H100 INT8,int8,1,32768,intattention,FlashAttention + IntAttention,32,16.08730627643961,0.6003737719071053,0.6003737719071053,0.6003737719071053,0.6003737719071053,18.48880136406803,0.054052715186048525,0.00226317879651213,0.054052715186048525,2.0488082016748685,2.0488082016748685,0.10836900630233966,0.007921125787792456,2.0488082016748685,0.00226317879651213,6.319030631097298,6.375346525079858,24.86414788914789,795.6527324527325,0.054052715186048525,0.021553638953638952,795.7283388068721,0.7435928006258997,0.7435221479447295,5.721315997582664,16.066306276439608,1.218,4.906571630838298,0.0,1093.5445463719639,951.504951457018,41179.88313591152,41183.79622600826
