model,metric,variant,paper,reproduced,error,tolerance,pass
Llama-3-8b,piqa,int8_pinn16,0.7932535364526659,0.7927094668117519,-0.0005440696409140244,0.005,True
Llama-3-8b,piqa,int8_pinn32,0.795429815016322,0.7867247007616975,-0.008705114254624502,0.005,False
Llama-3-8b,winogrande,fp16_exact,0.7308602999210734,0.7308602999210734,0.0,0.005,True
Llama-3-8b,winogrande,fp16_pinn8,0.7316495659037096,0.7292817679558011,-0.0023677979479084232,0.005,True
Llama-3-8b,winogrande,fp16_pinn16,0.7316495659037096,0.7308602999210734,-0.0007892659826361781,0.005,True
Llama-3-8b,winogrande,fp16_pinn32,0.7300710339384373,0.7308602999210734,0.0007892659826360671,0.005,True
Llama-3-8b,winogrande,int8_exact,0.7324388318863457,0.7324388318863457,0.0,0.005,True
Llama-3-8b,winogrande,int8_pinn8,0.7237569060773481,0.7419100236779794,0.01815311760063132,0.005,False
Llama-3-8b,winogrande,int8_pinn16,0.7245461720599842,0.7182320441988951,-0.006314127861089092,0.005,False
Llama-3-8b,winogrande,int8_pinn32,0.7308602999210734,0.7253354380426204,-0.0055248618784530246,0.005,False
Qwen2.5-7B,arc_easy,fp16_exact,0.7592592592592593,0.7592592592592593,0.0,0.005,True
Qwen2.5-7B,arc_easy,fp16_pinn8,0.7613636363636364,0.7613636363636364,0.0,0.005,True
Qwen2.5-7B,arc_easy,fp16_pinn16,0.7596801346801347,0.7596801346801347,0.0,0.005,True
Qwen2.5-7B,arc_easy,fp16_pinn32,0.7546296296296297,0.7546296296296297,0.0,0.005,True
Qwen2.5-7B,arc_easy,int8_exact,0.7205387205387206,0.7205387205387206,0.0,0.005,True
Qwen2.5-7B,arc_easy,int8_pinn8,0.7125420875420876,0.7125420875420876,0.0,0.005,True
Qwen2.5-7B,arc_easy,int8_pinn16,0.7272727272727273,0.7272727272727273,0.0,0.005,True
Qwen2.5-7B,arc_easy,int8_pinn32,0.7095959595959596,0.7095959595959596,0.0,0.005,True
Qwen2.5-7B,hellaswag,fp16_exact,0.7814180442143,0.7814180442143,0.0,0.005,True
Qwen2.5-7B,hellaswag,fp16_pinn8,0.7807209719179447,0.7807209719179447,0.0,0.005,True
Qwen2.5-7B,hellaswag,fp16_pinn16,0.7821151165106552,0.7821151165106552,0.0,0.005,True
Qwen2.5-7B,hellaswag,fp16_pinn32,0.7822146982672774,0.7822146982672774,0.0,0.005,True
Qwen2.5-7B,hellaswag,int8_exact,0.7576180043815973,0.7576180043815973,0.0,0.005,True
