seq_len,n_rows,method,repetition,latency_ms
4096,16384,intattention_idx_softmax_u8,17,0.12166400253772736
4096,16384,intattention_idx_softmax_u8,18,0.12150400131940842
4096,16384,intattention_idx_softmax_u8,19,0.12211199849843979
4096,16384,intattention_idx_softmax_u8,20,0.1218239963054657
4096,16384,memory_floor_1read_1write,1,0.06310400366783142
4096,16384,memory_floor_1read_1write,2,0.06092799827456474
4096,16384,memory_floor_1read_1write,3,0.05881600081920624
4096,16384,memory_floor_1read_1write,4,0.05920000001788139
4096,16384,memory_floor_1read_1write,5,0.05875200033187866
4096,16384,memory_floor_1read_1write,6,0.060896001756191254
4096,16384,memory_floor_1read_1write,7,0.06003199890255928
4096,16384,memory_floor_1read_1write,8,0.058368001133203506
4096,16384,memory_floor_1read_1write,9,0.05939200147986412
4096,16384,memory_floor_1read_1write,10,0.05862399935722351
4096,16384,memory_floor_1read_1write,11,0.0597120001912117
4096,16384,memory_floor_1read_1write,12,0.059487998485565186
4096,16384,memory_floor_1read_1write,13,0.05846399813890457
4096,16384,memory_floor_1read_1write,14,0.058848001062870026
4096,16384,memory_floor_1read_1write,15,0.05820799991488457
4096,16384,memory_floor_1read_1write,16,0.059776000678539276
4096,16384,memory_floor_1read_1write,17,0.059487998485565186
4096,16384,memory_floor_1read_1write,18,0.06003199890255928
4096,16384,memory_floor_1read_1write,19,0.0589120015501976
4096,16384,memory_floor_1read_1write,20,0.05875200033187866
8192,8192,fp_stream_softmax_u8,1,0.11935999989509583
8192,8192,fp_stream_softmax_u8,2,0.11577600240707397
8192,8192,fp_stream_softmax_u8,3,0.11555200070142746
8192,8192,fp_stream_softmax_u8,4,0.11353600025177002
8192,8192,fp_stream_softmax_u8,5,0.11276800185441971
8192,8192,fp_stream_softmax_u8,6,0.11292800307273865
8192,8192,fp_stream_softmax_u8,7,0.11212799698114395
8192,8192,fp_stream_softmax_u8,8,0.111455999314785
8192,8192,fp_stream_softmax_u8,9,0.11276800185441971
8192,8192,fp_stream_softmax_u8,10,0.11264000087976456
8192,8192,fp_stream_softmax_u8,11,0.11231999844312668
8192,8192,fp_stream_softmax_u8,12,0.11241599917411804
8192,8192,fp_stream_softmax_u8,13,0.11184000223875046
8192,8192,fp_stream_softmax_u8,14,0.11135999858379364
8192,8192,fp_stream_softmax_u8,15,0.11267200112342834
8192,8192,fp_stream_softmax_u8,16,0.11190400272607803
8192,8192,fp_stream_softmax_u8,17,0.1125119999051094
8192,8192,fp_stream_softmax_u8,18,0.1133119985461235
8192,8192,fp_stream_softmax_u8,19,0.1128000020980835
8192,8192,fp_stream_softmax_u8,20,0.11513599753379822
8192,8192,illm_di_softmax_u8,1,0.19513599574565887
8192,8192,illm_di_softmax_u8,2,0.1932159960269928
8192,8192,illm_di_softmax_u8,3,0.1921280026435852
8192,8192,illm_di_softmax_u8,4,0.19152000546455383
8192,8192,illm_di_softmax_u8,5,0.19164800643920898
8192,8192,illm_di_softmax_u8,6,0.19123199582099915
8192,8192,illm_di_softmax_u8,7,0.19145600497722626
8192,8192,illm_di_softmax_u8,8,0.19020800292491913
8192,8192,illm_di_softmax_u8,9,0.19023999571800232
8192,8192,illm_di_softmax_u8,10,0.19062399864196777
8192,8192,illm_di_softmax_u8,11,0.1897599995136261
8192,8192,illm_di_softmax_u8,12,0.19068799912929535
8192,8192,illm_di_softmax_u8,13,0.19065600633621216
8192,8192,illm_di_softmax_u8,14,0.19040000438690186
8192,8192,illm_di_softmax_u8,15,0.19075199961662292
8192,8192,illm_di_softmax_u8,16,0.19049599766731262
8192,8192,illm_di_softmax_u8,17,0.1910720020532608
8192,8192,illm_di_softmax_u8,18,0.19017599523067474
8192,8192,illm_di_softmax_u8,19,0.19075199961662292
8192,8192,illm_di_softmax_u8,20,0.19062399864196777
8192,8192,intattention_idx_softmax_u8,1,0.12777599692344666
8192,8192,intattention_idx_softmax_u8,2,0.1271360069513321
8192,8192,intattention_idx_softmax_u8,3,0.12611199915409088
8192,8192,intattention_idx_softmax_u8,4,0.12595200538635254
8192,8192,intattention_idx_softmax_u8,5,0.12585599720478058
