case_name,case_label,system_config_path,data_type,prefill_length,batch_size,hidden_size,num_heads,head_dim,compile_mode,variant,variant_label,attention_variant,total_latency_ms,q_mul_k_ms,softmax_ms,softmax_scale,a_mul_v_ms,compute_model_ms,fused_core_ms,hbm_io_ms,onchip_io_ms,kernel_overhead_ms,bottleneck_component,bottleneck_ms,bottleneck_share_of_total,software_q_tile_size,software_kv_tile_size,logical_q_tile_size,tensor_tflops,vector_tflops,tensor_vector_ratio,source
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,131072,1,4096,32,128,fixed-tile,baseline,FlashAttention,flashattention,211.05789641716308,91.54105596132263,211.0368964171631,1.0,78.50514609341276,211.0368964171631,0.0,0.0,0.0,0.020999999999999998,softmax,211.0368964171631,0.9999005012351754,,,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,131072,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,160.36364615384616,0.0,0.0,1.0,0.0,0.0,160.34264615384618,0.0,0.0,0.020999999999999998,fused_core,160.34264615384618,0.9998690476270423,128,512,128,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,131072,1,4096,32,128,fixed-tile,illm,FlashAttention + I-LLM,flashattention_illm,296.1172083052749,91.54105596132263,296.09620830527496,1.403,78.50514609341276,296.09620830527496,0.0,0.0,0.0,0.020999999999999998,softmax,296.09620830527496,0.9999290821356849,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,131072,1,4096,32,128,fixed-tile,intattention,FlashAttention + IntAttention,flashattention_intattention,267.6192608995942,91.54105596132263,267.5982608995942,1.268,78.50514609341276,267.5982608995942,0.0,0.0,0.0,0.020999999999999998,softmax,267.5982608995942,0.9999215303116471,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,262144,1,4096,32,128,fixed-tile,baseline,FlashAttention,flashattention,844.1685856686523,366.1642238452905,844.1475856686524,1.0,314.02058437365105,844.1475856686524,0.0,0.0,0.0,0.020999999999999998,softmax,844.1475856686524,0.9999751234524046,,,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,262144,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,636.301341880342,0.0,0.0,1.0,0.0,0.0,636.2803418803419,0.0,0.0,0.020999999999999998,fused_core,636.2803418803419,0.9999669967692697,128,512,128,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,262144,1,4096,32,128,fixed-tile,illm,FlashAttention + I-LLM,flashattention_illm,1132.9864109643445,366.1642238452905,1132.9654109643443,1.342,314.02058437365105,1132.9654109643443,0.0,0.0,0.0,0.020999999999999998,softmax,1132.9654109643443,0.9999814649144977,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,262144,1,4096,32,128,fixed-tile,intattention,FlashAttention + IntAttention,flashattention_intattention,1074.75934688768,366.1642238452905,1074.73834688768,1.273,314.02058437365105,1074.73834688768,0.0,0.0,0.0,0.020999999999999998,softmax,1074.73834688768,0.9999804607421552,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,524288,1,4096,32,128,fixed-tile,baseline,FlashAttention,flashattention,3376.611342674609,1464.656895381162,3376.5903426746095,1.0,1256.0823374946042,3376.5903426746095,0.0,0.0,0.0,0.020999999999999998,softmax,3376.5903426746095,0.999993780747066,,,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,524288,1,4096,32,128,fixed-tile,customsa,FlashAttention-CustomSA,flashattention_customsa,2534.961882051282,0.0,0.0,1.0,0.0,0.0,2534.940882051282,0.0,0.0,0.020999999999999998,fused_core,2534.940882051282,0.9999917158517655,128,512,128,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,524288,1,4096,32,128,fixed-tile,illm,FlashAttention + I-LLM,flashattention_illm,4474.524640438574,1464.656895381162,4474.503640438574,1.325,1256.0823374946042,4474.503640438574,0.0,0.0,0.0,0.020999999999999998,softmax,4474.503640438574,0.9999953067640279,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
h100_int8,H100 INT8,${SOURCE_ROOT}/LLMCompass/configs/ours/H100.json,int8,524288,1,4096,32,128,fixed-tile,intattention,FlashAttention + IntAttention,flashattention_intattention,4319.25246956747,1464.656895381162,4319.2314695674695,1.279,1256.0823374946042,4319.2314695674695,0.0,0.0,0.0,0.020999999999999998,softmax,4319.2314695674695,0.9999951380475791,128,512,,1897.75872,59.30496,32.0,fixed_tile_model
