case_name,case_label,data_type,prefill_length,variant,variant_label,baseline_total_ms,variant_total_ms,speedup_vs_baseline_x,customsa_vs_flash_x,tensor_vector_ratio
tpuv5p_fp16,TPUv5p FP16,fp16,4096,flashattention,FlashAttention,3.2614388571428568,1.5121234285714285,2.1568602109578356,1.2563266980390366,32.0
tpuv5p_fp16,TPUv5p FP16,fp16,4096,customsa,FlashAttention-CustomSA,3.2614388571428568,1.2036068571428573,2.7097210669644376,1.2563266980390366,32.0
tpuv5p_fp16,TPUv5p FP16,fp16,8192,flashattention,FlashAttention,11.471811428571428,5.148493714285714,2.2281879060549636,1.3152609949304024,32.0
tpuv5p_fp16,TPUv5p FP16,fp16,8192,customsa,FlashAttention-CustomSA,11.471811428571428,3.914427428571429,2.9306486422097415,1.3152609949304024,32.0
tpuv5p_fp16,TPUv5p FP16,fp16,16384,flashattention,FlashAttention,44.30932457142857,19.69397485714286,2.2498924108942844,1.3344872096297404,32.0
tpuv5p_fp16,TPUv5p FP16,fp16,16384,customsa,FlashAttention-CustomSA,44.30932457142857,14.757709714285715,3.0024526453814433,1.3344872096297404,32.0
tpuv5p_fp16,TPUv5p FP16,fp16,32768,flashattention,FlashAttention,175.65142285714285,77.87589942857143,2.255529941175859,1.339665846212064,32.0
tpuv5p_fp16,TPUv5p FP16,fp16,32768,customsa,FlashAttention-CustomSA,175.65142285714285,58.13083885714286,3.0216564273020046,1.339665846212064,32.0
tpuv5p_int8,TPUv5p INT8,int8,2048,flashattention,FlashAttention,0.9709771428571429,0.453856,2.1393947482398445,1.070103581706673,32.0
tpuv5p_int8,TPUv5p INT8,int8,2048,customsa,FlashAttention-CustomSA,0.9709771428571429,0.42412342857142854,2.2893739827759036,1.070103581706673,32.0
tpuv5p_int8,TPUv5p INT8,int8,4096,flashattention,FlashAttention,2.326858857142857,0.9061348571428572,2.567894655856964,1.144591949277329,32.0
tpuv5p_int8,TPUv5p INT8,int8,4096,customsa,FlashAttention-CustomSA,2.326858857142857,0.7916662857142857,2.939191549686159,1.144591949277329,32.0
tpuv5p_int8,TPUv5p INT8,int8,8192,flashattention,FlashAttention,7.736445142857143,2.7059611428571424,2.8590377815582615,1.1989139615288795,32.0
tpuv5p_int8,TPUv5p INT8,int8,8192,customsa,FlashAttention-CustomSA,7.736445142857143,2.2570102857142857,3.4277403128487545,1.1989139615288795,32.0
tpuv5p_int8,TPUv5p INT8,int8,16384,flashattention,FlashAttention,29.369196,9.923844571428571,2.959457475236556,1.2209392640869645,32.0
